sample_id,category,sample_folder,original_image,multiview_design,atomic_rules,human_decision,issue_type,notes
2245121,plush,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2245121,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2245121\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2245121\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2245121\atomic_rules.json,,,
2572477,plush,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2572477,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2572477\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2572477\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2572477\atomic_rules.json,,,
1907867,dataset_QSitFigures,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\1907867,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\1907867\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\1907867\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\1907867\atomic_rules.json,,,
2026807,dataset_QSitFigures,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2026807,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2026807\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2026807\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2026807\atomic_rules.json,,,
2028679,dataset_QSitFigures,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2028679,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2028679\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2028679\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2028679\atomic_rules.json,,,
2028682,dataset_QSitFigures,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2028682,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2028682\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2028682\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_QSitFigures\2028682\atomic_rules.json,,,
2028680,dataset_figurine,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2028680,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2028680\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2028680\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2028680\atomic_rules.json,,,
2028688,dataset_figurine,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2028688,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2028688\2d_original.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2028688\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2028688\atomic_rules.json,,,
2174996,dataset_figurine,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2174996,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2174996\2d_original.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2174996\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2174996\atomic_rules.json,,,
2174998,dataset_figurine,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2174998,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2174998\2d_original.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2174998\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\dataset_figurine\2174998\atomic_rules.json,,,
